Zona,ObjectId,et_x,et_y,et_order,ZoneId,zone_name
G2,26,25.278500,54.678830,55,12,Geltonoji 8-20h
G2,26,25.278450,54.678860,54,12,Geltonoji 8-20h
G2,26,25.278440,54.678870,53,12,Geltonoji 8-20h
G2,26,25.278360,54.678950,52,12,Geltonoji 8-20h
G2,26,25.278260,54.679040,51,12,Geltonoji 8-20h
G2,26,25.278190,54.679110,50,12,Geltonoji 8-20h
G2,26,25.278170,54.679130,49,12,Geltonoji 8-20h
G2,26,25.278170,54.679130,48,12,Geltonoji 8-20h
G2,26,25.278140,54.679170,47,12,Geltonoji 8-20h
G2,26,25.278110,54.679210,46,12,Geltonoji 8-20h
G2,26,25.278100,54.679220,45,12,Geltonoji 8-20h
G2,26,25.278060,54.679270,43,12,Geltonoji 8-20h
G2,26,25.284090,54.675960,104,12,Geltonoji 8-20h
G2,26,25.284200,54.676020,105,12,Geltonoji 8-20h
G2,26,25.284550,54.675840,106,12,Geltonoji 8-20h
G2,26,25.287920,54.677970,165,12,Geltonoji 8-20h
G2,26,25.288190,54.677430,164,12,Geltonoji 8-20h
G2,26,25.288300,54.676980,163,12,Geltonoji 8-20h
G2,26,25.288420,54.676700,162,12,Geltonoji 8-20h
G2,26,25.288410,54.676590,161,12,Geltonoji 8-20h
G2,26,25.288780,54.676490,160,12,Geltonoji 8-20h
G2,26,25.288840,54.676250,159,12,Geltonoji 8-20h
G2,26,25.288840,54.676110,158,12,Geltonoji 8-20h
G2,26,25.289220,54.675760,157,12,Geltonoji 8-20h
G2,26,25.289420,54.675100,156,12,Geltonoji 8-20h
G2,26,25.289680,54.674580,155,12,Geltonoji 8-20h
G2,26,25.289710,54.674300,154,12,Geltonoji 8-20h
G2,26,25.289700,54.674140,153,12,Geltonoji 8-20h
G2,26,25.289440,54.674130,152,12,Geltonoji 8-20h
G2,26,25.289410,54.674240,151,12,Geltonoji 8-20h
G2,26,25.289110,54.674760,150,12,Geltonoji 8-20h
G2,26,25.288590,54.675630,149,12,Geltonoji 8-20h
G2,26,25.287940,54.678410,166,12,Geltonoji 8-20h
G2,26,25.288200,54.676010,148,12,Geltonoji 8-20h
G2,26,25.288360,54.678700,167,12,Geltonoji 8-20h
G2,26,25.288590,54.679230,169,12,Geltonoji 8-20h
G2,26,25.292050,54.676440,186,12,Geltonoji 8-20h
G2,26,25.292160,54.676650,185,12,Geltonoji 8-20h
G2,26,25.292280,54.676890,184,12,Geltonoji 8-20h
G2,26,25.275010,54.685680,354,12,Geltonoji 8-20h
G2,26,25.292330,54.677150,182,12,Geltonoji 8-20h
G2,26,25.292370,54.677340,181,12,Geltonoji 8-20h
G2,26,25.292200,54.677900,180,12,Geltonoji 8-20h
