"SHA1(sms_receive_source_phone)";"sms_receive_operator";"FROM_UNIXTIME(sms_receive_date)";"sms_receive_body"
"05909c8dbaa0a92237ed814d4dacc5089eb483ce";"1";"2017-04-05 08:06:04";"Start R"
"3f0157f953adddb4e4bea63f18a86a8782f66343";"3";"2017-04-05 08:06:05";"Start G"
"c442fa60f608c3bb53e7fcc1b8c2fc0ac21bff70";"3";"2017-04-05 08:06:12";"Start g"
"9b61825e436755f77f3935ffcf8a522f79872617";"3";"2017-04-05 08:06:17";"Start g"
"e88a97afdd51c2ba9d4e5b3a259d1bada4943215";"2";"2017-04-05 08:06:23";"SART M"
"5098ef06b1dc1fa060c51b35d71fb74d747e1f67";"1";"2017-04-05 08:06:45";"Start r"
"b6e5c64f8cb65d9d372baf6eb237bc57c282c3a4";"2";"2017-04-05 08:06:52";"Start z"
"f57320542dd8ede8a8226d9d5c79104e5262fd31";"1";"2017-04-05 08:06:55";"Start R"
"fed8a164107eda984a590118fe289d9c21231c48";"2";"2017-04-05 08:06:57";"STOP"
"f62849b06c42428ca587dcafd3bb6ad2bda78168";"1";"2017-04-05 08:07:22";"Start G"
"cff9d58ecdd7d13082a047439b8e4b783e840a7f";"3";"2017-04-05 08:07:23";"Start G"
"28dc6d138b256ba2f85d27cca696223a1c82a953";"2";"2017-04-05 08:07:26";"Start r"
"63bd6b1e328b1f3ce2596d2736019c4b935d9071";"2";"2017-04-05 08:07:26";"Start"
"e88a97afdd51c2ba9d4e5b3a259d1bada4943215";"2";"2017-04-05 08:07:27";"START M"
"c1092b74cc41f0f031dabf719d902aad1753431e";"1";"2017-04-05 08:07:27";"Stop"
"097710a7bd3da7c8057bbc4ed5ed9431c31e0108";"1";"2017-04-05 08:07:41";"Start z"
"b93b03ff33d202138ebb5548955445a2a3f6f856";"1";"2017-04-05 08:08:05";"Start G"
"63bd6b1e328b1f3ce2596d2736019c4b935d9071";"2";"2017-04-05 08:08:12";"Stop"
"e2ee1bedadaac059bd0b2c6895b06facb6170de5";"1";"2017-04-05 08:08:20";"Start m"
"ff441eb2b1428320b7ac3f86bb77f94ab25429b1";"3";"2017-04-05 08:08:23";"Start G"
"56767dd1308cc6ceada438b936e73ea3eb5166bf";"1";"2017-04-05 08:08:23";"Start M"
"98597ceb1254d00d24c5bf930b7eaf5197b4d7b1";"3";"2017-04-05 08:08:35";"Start R"
"6e202ca5a7616628776cd7949553afe302c370b4";"1";"2017-04-05 08:08:41";"Start G"
"bad608cbf18eeaddeb158d9de4789e695fe0fa0e";"2";"2017-04-05 08:08:52";"start g"
"ae6ebf26c6320ac1632ca41579e5b0f593196398";"3";"2017-04-05 08:09:02";"Start z"
"63bd6b1e328b1f3ce2596d2736019c4b935d9071";"2";"2017-04-05 08:09:17";"Start"
"83c190f750e44ffce7daed046c186738ad89a091";"2";"2017-04-05 08:09:27";"Stop"
"83ac251176fb2230bb1698301b5bd3b4abfbdb3d";"2";"2017-04-05 08:09:32";"Stop"
"8057cb5aee41dc24cd9bc42df1d387cbce62651b";"1";"2017-04-05 08:09:58";"START Z "
"d589d012a1ef41e1e827d62d42c83c9b374f5355";"2";"2017-04-05 08:10:22";"START G"
"64529ca4f402534c36de9e1935f4a55b463244e6";"2";"2017-04-05 08:10:22";"STOP"
"5c45c7a1672b27e5931ede523852f8a799fbc3da";"1";"2017-04-05 08:10:35";"Start Z"
"c8d9d9b513a0f613a93cb26c17a027cb452df6b9";"3";"2017-04-05 08:10:48";"STOP"
